0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
46,2017-01-24,ORL,CHI,0.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,Bobby Portis,Doug McDermott,Jimmy Butler,Michael Carter-Williams,Rajon Rondo,Robin Lopez,Taj Gibson,none,none,none,none,none,none,none,none,,,,,,,,,,
47,2017-01-27,ORL,BOS,0.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,Al Horford,Avery Bradley,Isaiah Thomas,Jae Crowder,Jaylen Brown,Kelly Olynyk,Marcus Smart,Terry Rozier,none,none,none,none,none,none,none,,,,,,,,,,
48,2017-01-29,ORL,TOR,1.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,Cory Joseph,Delon Wright,Demar DeRozan,Fred VanVleet,Jacob Poeltl,Jonas Valanciunas,Kyle Lowry,Norman Powell,Pascal Siakam,Terrence Ross,none,none,none,none,none,,,,,,,,,,
49,2017-01-30,ORL,MIN,0.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,Andrew Wiggins,Gorgui Dieng,Karl Anthony Towns,Nemanja Bjelica,Ricky Rubio,Tyus Jones,Zach Lavine,none,none,none,none,none,none,none,none,,,,,,,,,,
50,2017-02-01,ORL,IND,0.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,Armoni Brooks,Georges Niang,Myles Turner,Paul George,Thaddeus Young,none,none,none,none,none,none,none,none,none,none,,,,,,,,,,
51,2017-02-03,ORL,TOR,1.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,Cory Joseph,Delon Wright,Demar DeRozan,Fred VanVleet,Jacob Poeltl,Jonas Valanciunas,Kyle Lowry,Norman Powell,Pascal Siakam,Terrence Ross,none,none,none,none,none,,,,,,,,,,
52,2017-02-04,ORL,ATL,0.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,DeAndre' Bembry,Dennis Schroder,Dwight Howard,Kent Bazemore,Mike Muscala,Paul Millsap,Taurean Prince,Tim Hardaway Jr,none,none,none,none,none,none,none,,,,,,,,,,
53,2017-02-07,ORL,HOU,0.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,Clint Capela,Eric Gordon,James Harden,Montrezi Harrell,Patrick Beverley,Trevor Ariza,none,none,none,none,none,none,none,none,none,,,,,,,,,,
54,2017-02-09,ORL,PHI,0.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,Ben Simmons,Dario Saric,Joel Embiid,Nerlens Noel,Nik Statuskas,Richaun Holmes,Robert Covington,T.J. McConnell,Timothe Luwawu-Cabarrot,none,none,none,none,none,none,,,,,,,,,,
55,2017-02-11,ORL,DAL,0.0,Aaron Gordon,Bismack Biyombo,D.J. Augustin,Elfrid Payton,Evan Fournier,Jeff Green,Nikola Vucevic,Serge Ibaka,none,none,none,none,none,none,none,Dorian Finney-Smith,Dwight Powell,Harrison Barnes,Justin Anderson,Seth Curry,Wesley Matthews,none,none,none,none,none,none,none,none,none,,,,,,,,,,
